IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
18.183.137.85,2083,true,NRT,Asia Pacific,Tokyo,67 ms,16994 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,102 ms,14576 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,175 ms,13080 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,167 ms,12983 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,170 ms,12881 kB/s
185.146.173.12,443,true,SJC,North America,San Jose,171 ms,12661 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,218 ms,9460 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,233 ms,9442 kB/s
154.17.28.199,8001,true,LAX,North America,Los Angeles,181 ms,9421 kB/s
35.240.184.147,8092,true,SIN,Asia Pacific,Singapore,93 ms,9418 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,238 ms,9302 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,237 ms,9246 kB/s
77.74.228.97,2087,true,SJC,North America,San Jose,171 ms,9137 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,220 ms,9111 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,216 ms,9019 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,225 ms,8996 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,218 ms,8983 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,215 ms,8877 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,235 ms,8874 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,233 ms,8850 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,223 ms,8841 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,232 ms,8825 kB/s
218.54.200.63,30048,true,KIX,Asia Pacific,Osaka,113 ms,8774 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,236 ms,8770 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,221 ms,8757 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,243 ms,8721 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,222 ms,8712 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,243 ms,8555 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,227 ms,8554 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,224 ms,8514 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,228 ms,8506 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,220 ms,8471 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,239 ms,8437 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,230 ms,8393 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,209 ms,8340 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,220 ms,8336 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,234 ms,8310 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,231 ms,8298 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,236 ms,8277 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,223 ms,8274 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,222 ms,8145 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,222 ms,8110 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,223 ms,8076 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,234 ms,8059 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,235 ms,8040 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,218 ms,8039 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,218 ms,7909 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,236 ms,7885 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,217 ms,7847 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,215 ms,7845 kB/s
147.78.243.164,57391,true,NRT,Asia Pacific,Tokyo,90 ms,7843 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,218 ms,7841 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,244 ms,7773 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,74 ms,7767 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,214 ms,7715 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,217 ms,7660 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,219 ms,7627 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,224 ms,7554 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,213 ms,7484 kB/s
204.93.210.127,8443,true,SJC,North America,San Jose,183 ms,7442 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,227 ms,7426 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,84 ms,7252 kB/s
149.104.27.34,33258,true,HKG,Asia Pacific,Hong Kong,75 ms,7152 kB/s
35.201.203.106,443,true,TPE,Asia Pacific,Taipei,90 ms,7062 kB/s
91.195.110.131,2083,true,SJC,North America,San Jose,187 ms,6448 kB/s
27.50.48.108,443,true,SJC,North America,San Jose,175 ms,6417 kB/s
218.54.154.5,11423,true,NRT,Asia Pacific,Tokyo,116 ms,6295 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,178 ms,6041 kB/s
222.233.248.165,38344,true,NRT,Asia Pacific,Tokyo,111 ms,6026 kB/s
88.216.66.74,2053,true,SJC,North America,San Jose,177 ms,5906 kB/s
27.50.48.250,2096,true,SJC,North America,San Jose,174 ms,5658 kB/s
159.89.112.72,8443,true,YYZ,North America,Toronto,258 ms,5544 kB/s
93.113.175.66,2083,true,SJC,North America,San Jose,178 ms,5481 kB/s
